 出现次数, 连续组数
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,4
9,2
10,3
11,3
12,2
13,3
14,3
15,2
16,2
17,2
18,2
19,3
20,6
21,2
22,12
23,2
24,3
25,2
26,4
27,2
28,8
29,6
30,2
31,4
32,4
33,2
34,13
35,2
36,3
37,21
38,7
39,7
40,6
41,2
42,7
43,9
44,6
45,6
46,14
47,14
48,2
49,6
50,14
51,2
52,6
53,7
54,14
55,2
56,6
57,10
58,4
59,15
60,20
61,14
62,3
63,14
64,2
65,19
66,13
67,3
68,13
69,2
70,18
71,7
72,4
73,2
74,2
75,3
76,12
77,2
78,17
79,12
80,3
81,11
82,2
83,16
84,2
85,11
86,2
87,3
88,10
89,2
90,15
91,2
92,9
93,3
94,9
95,2
96,15
97,15
98,15
99,4
100,5
101,5
102,14
103,2
104,10
105,5
106,6
107,2
108,7
109,2
110,3
111,8
112,4
113,8
114,7
115,3
116,7
117,3
118,8
119,2
120,8
121,2
122,2
123,6
124,10
125,2
126,4
127,2
128,7
129,8
130,2
131,4
132,2
133,7
134,8
135,5
136,2
137,4
138,2
139,6
140,5
141,2
142,3
143,2
144,2
145,4
146,2
147,2
148,2
149,5
150,5
151,3
152,4
153,4
154,2
155,3
156,3
157,2
158,2
159,2
160,2
